Angle_SPDmax error:0.05390688807265875min error:5.867745910367664e-08average error:0.014752499556653755
BendedLine_SPDmax error:0.16550344796183603min error:2.0928863710955203e-08average error:0.03460338115780461
CShape_SPDmax error:0.08538164188632007min error:1.6409826613445523e-08average error:0.016427424642215274
DoubleBendedLine_SPDmax error:0.07937381006892094min error:2.0053722624051427e-08average error:0.022431111574760902
GShape_SPDmax error:0.11950918290327407min error:3.955968659932304e-08average error:0.017666828451017635
heee_SPDmax error:0.27234058005442996min error:7.343759146455375e-08average error:0.0627406380418201
JShape_2_SPDmax error:0.14824653346573824min error:2.327903115768652e-08average error:0.027387873320335782
JShape_SPDmax error:0.08457431919384086min error:2.913723976678379e-08average error:0.019586614291713753
Khamesh_SPDmax error:0.05692945899363606min error:2.7823523933827853e-08average error:0.01938990990795333
Leaf_1_SPDmax error:0.07142121809357875min error:2.994837328623718e-08average error:0.01670121712378883
Leaf_2_SPDmax error:0.0930418420987273min error:2.2198251278530107e-08average error:0.02397741970201807
Line_SPDmax error:0.017907798782090128min error:7.307930208157237e-08average error:0.0035511410008368036
LShape_SPDmax error:0.07309632223320923min error:4.592485796299707e-08average error:0.018002260532410434
Multi_Models_1_SPDmax error:0.02683464915513936min error:5.010970816006673e-08average error:0.004961710115682101
Multi_Models_2_SPDmax error:0.01413780588819884min error:3.595556504275753e-08average error:0.004493565960216831
Multi_Models_3_SPDmax error:0.09283438945061942min error:4.9822777551902085e-08average error:0.015547954734466796
Multi_Models_4_SPDmax error:0.024037768482986988min error:5.196242670256784e-08average error:0.008718362029172257
NShape_SPDmax error:0.06589799283860695min error:1.1963913686744482e-07average error:0.015907879114883096
PShape_SPDmax error:0.08510426675643983min error:6.098050171917614e-08average error:0.015549800795924594
RShape_SPDmax error:0.0387836177632866min error:5.3171010914857446e-08average error:0.015612880385904734
Saeghe_SPDmax error:0.2046729253103738min error:4.1529324244300394e-08average error:0.027931178133634285
Sharpc_SPDmax error:0.08670903849139683min error:6.790629465099606e-08average error:0.023384964512346403
Sine_SPDmax error:0.07360580960800166min error:5.852299977003539e-08average error:0.02056591016788175
Snake_SPDmax error:0.08729679057062253min error:4.2397831317968184e-08average error:0.028646836709373704
Spoon_SPDmax error:0.07461787316754709min error:7.230827900395592e-08average error:0.01566891968199059
Sshape_SPDmax error:0.09342726260426883min error:4.8624993774694475e-08average error:0.026274802534312275
Trapezoid_SPDmax error:0.03776539905613568min error:4.402115525147065e-08average error:0.013360661267857364
Worm_SPDmax error:0.05800427195099426min error:1.4864689801823164e-08average error:0.015448508811003408
WShape_SPDmax error:0.15340379529731615min error:3.8953340965459595e-08average error:0.023492975101006293
Zshape_SPDmax error:0.12532200255160106min error:1.1254895941094364e-07average error:0.04285303006543716
